theme,url,img,lines,author
LEARNING,/inspirational-quotes/8343-a-love-of-learning-has-a-lot-to-do-with,https://assets.passiton.com/quotes/quote_artwork/8343/medium/20220713_wednesday_quote.jpg,A love of learning has a lot to do with learning that we are loved.,<Author:0x0000562a0c9e6da8>
LEARNING,/inspirational-quotes/8342-education-is-everything-education-is-your,https://assets.passiton.com/quotes/quote_artwork/8342/medium/20220712_tuesday_quote.jpg,"Education is everything—education is your power, education is your way in life for whatever you want to do.",<Author:0x0000562a0cb17a88>
LEARNING,/inspirational-quotes/3920-learning-is-a-treasure-that-will-follow-its,https://assets.passiton.com/quotes/quote_artwork/3920/medium/20220711_monday_quote.jpg,Learning is a treasure that will follow its owner everywhere.,<Author:0x0000562a0cabd3d0>
UNITY,/inspirational-quotes/7941-unity-is-strength-when-there-is-teamwork-and,https://assets.passiton.com/quotes/quote_artwork/7941/medium/20220708_friday_quote.jpg,"Unity is strength…when there is teamwork and collaboration, wonderful things can be achieved.",<Author:0x0000562a0cbdca90>
UNITY,/inspirational-quotes/7586-the-essence-of-the-beautiful-is-unity-in-variety,https://assets.passiton.com/quotes/quote_artwork/7586/medium/20220707_thursday_quote.jpg,The essence of the beautiful is unity in variety.,<Author:0x0000562a0cb93048>
UNITY,/inspirational-quotes/8341-united-we-stand-divided-we-fall,https://assets.passiton.com/quotes/quote_artwork/8341/medium/20220706_wednesday_quote.jpg,"United we stand, divided we fall.",<Author:0x0000562a0cc9ea78>
UNITY,/inspirational-quotes/8096-unity-does-not-mean-sameness-it-means-oneness,https://assets.passiton.com/quotes/quote_artwork/8096/medium/20220705_tuesday_quote.jpg,Unity does not mean sameness. It means oneness of purpose.,<Author:0x0000562a0cc43a88>
UNITY,/inspirational-quotes/4373-so-powerful-is-the-light-of-unity-that-it-can,https://assets.passiton.com/quotes/quote_artwork/4373/medium/20220704_monday_quote.jpg,So powerful is the light of unity that it can illuminate the whole earth.,<Author:0x0000562a0cd43208>
DISCOVERY,/inspirational-quotes/7381-discovery-is-seeing-what-everybody-else-has,https://assets.passiton.com/quotes/quote_artwork/7381/medium/202200701_friday_quote.jpg,"Discovery is seeing what everybody else has seen, and thinking what nobody else has thought.",<Author:0x0000562a0ccfb868>
DISCOVERY,/inspirational-quotes/6462-mistakes-are-the-portals-of-discovery,https://assets.passiton.com/quotes/quote_artwork/6462/medium/202200630_thursday_quote.jpg,Mistakes are the portals of discovery.,<Author:0x0000562a0ccbd310>
DISCOVERY,/inspirational-quotes/6147-the-real-voyage-of-discovery-lies-not-in,https://assets.passiton.com/quotes/quote_artwork/6147/medium/202200629_wednesday_quote.jpg,"The real voyage of discovery lies not in seeking new lands, but in seeing with new eyes.",<Author:0x0000562a0d574f58>
DISCOVERY,/inspirational-quotes/8340-there-are-always-new-things-to-find-out-if-you,https://assets.passiton.com/quotes/quote_artwork/8340/medium/202200628_tuesday_quote.jpg,There are always new things to find out if you go looking for them.,<Author:0x0000562a0cd6ada8>
DISCOVERY,/inspirational-quotes/4243-the-greatest-discovery-of-all-time-is-that-a,https://assets.passiton.com/quotes/quote_artwork/4243/medium/202200627_monday_quote.jpg,The greatest discovery of all time is that a person can change their future by merely changing their attitude.,<Author:0x0000562a0d614058>
SELFLESSNESS,/inspirational-quotes/5347-only-a-life-lived-for-others-is-worth-living,https://assets.passiton.com/quotes/quote_artwork/5347/medium/20220624_friday_quote.jpg,Only a life lived for others is worth living.,<Author:0x0000562a0d5cc578>
SELFLESSNESS,/inspirational-quotes/8339-only-those-who-have-learned-the-power-of,https://assets.passiton.com/quotes/quote_artwork/8339/medium/20220623_thursday_quote.jpg,Only those who have learned the power of sincere and selfless contribution experience life's deepest joy: true fulfillment.,<Author:0x0000562a0d684358>
SELFLESSNESS,/inspirational-quotes/8128-there-is-nothing-more-beautiful-than-someone,https://assets.passiton.com/quotes/quote_artwork/8128/medium/20220622_wednesday_quote.jpg,There is nothing more beautiful than someone who goes out of their way to make life beautiful for others.,<Author:0x0000562a0d65ff80>
SELFLESSNESS,/inspirational-quotes/8338-selfless-giving-unto-others-represents-one-s,https://assets.passiton.com/quotes/quote_artwork/8338/medium/20220621_tuesday_quote.jpg,Selfless giving unto others represents one’s true wealth.,<Author:0x0000562a0d6cb758>
SELFLESSNESS,/inspirational-quotes/8337-then-give-to-the-world-the-best-you-have-and,https://assets.passiton.com/quotes/quote_artwork/8337/medium/20220620_monday_quote.jpg,Then give to the world the best you have. And the best will come back to you.,<Author:0x0000562a0d6b8680>
FITNESS,/inspirational-quotes/8334-i-believe-that-the-greatest-gift-you-can-give,https://assets.passiton.com/quotes/quote_artwork/8334/medium/20220617_friday_quote.jpg,I believe that the greatest gift you can give your family and the world is a healthy you.,<Author:0x0000562a0d693e20>
FITNESS,/inspirational-quotes/8333-you-have-power-over-your-mind-not-outside,https://assets.passiton.com/quotes/quote_artwork/8333/medium/20220616_thursday_quote.jpg,"You have power over your mind—not outside events. Realize this, and you will find strength.",<Author:0x0000562a0d70efd0>
FITNESS,/inspirational-quotes/4839-friendship-love-health-energy-enthusiasm,https://assets.passiton.com/quotes/quote_artwork/4839/medium/20220615_wednesday_quote.jpg,"Friendship, love, health, energy, enthusiasm, and joy are the things that make life worth living and exploring.",<Author:0x0000562a0d6e1170>
FITNESS,/inspirational-quotes/8332-when-you-get-stronger-everything-in-the-world,https://assets.passiton.com/quotes/quote_artwork/8332/medium/20220614_tuesday_quote.jpg,"When you get stronger everything in the world gets easier. Change yourself and you've changed everything.
",<Author:0x0000562a0dc7f550>
FITNESS,/inspirational-quotes/8124-physical-fitness-is-the-first-requisite-of,https://assets.passiton.com/quotes/quote_artwork/8124/medium/20220613_monday_quote.jpg,Physical fitness is the first requisite of happiness.,<Author:0x0000562a0d9d5200>
PEACE,/inspirational-quotes/6342-peace-is-always-beautiful,https://assets.passiton.com/quotes/quote_artwork/6342/medium/20220610_friday_quote.jpg,Peace is always beautiful.,<Author:0x0000562a0dce6200>
PEACE,/inspirational-quotes/8336-if-there-is-to-be-peace-in-the-world-there,https://assets.passiton.com/quotes/quote_artwork/8336/medium/20220609_thursday_quote.jpg,"If there is to be peace in the world, there must be peace in the nations. If there is to be peace in the nations, there must be peace in the cities. If there is to be peace in the cities, there must be peace between neighbors. If there is to be peace between neighbors, there must be peace in the home. If there is to be peace in the home, there must be peace in the heart.
",<Author:0x0000562a0dcbe020>
PEACE,/inspirational-quotes/7171-darkness-cannot-drive-out-darkness-only-light,https://assets.passiton.com/quotes/quote_artwork/7171/medium/20220608_wednesday_quote.jpg,Darkness cannot drive out darkness; only light can do that. Hate cannot drive out hate; only love can do that.,<Author:0x0000562a0dd467b8>
PEACE,/inspirational-quotes/6962-when-we-have-peace-in-our-hearts-and-minds-we,https://assets.passiton.com/quotes/quote_artwork/6962/medium/20220607_tuesday_quote.jpg,"When we have peace in our hearts and minds, we draw peace into our lives.",<Author:0x0000562a0dd26300>
PEACE,/inspirational-quotes/8335-i-truly-believe-the-only-way-we-can-create,https://assets.passiton.com/quotes/quote_artwork/8335/medium/20220606_monday_quote.jpg,"I truly believe the only way we can create global peace is through not only educating our minds, but our hearts and our souls.",<Author:0x0000562a0dcfc0a0>
LEADERSHIP,/inspirational-quotes/8219-before-you-are-a-leader-success-is-all-about,https://assets.passiton.com/quotes/quote_artwork/8219/medium/202200603_friday_quote.jpg,"Before you are a leader, success is all about growing yourself. When you become a leader, success is all about growing others.",<Author:0x0000562a0dd77d68>
LEADERSHIP,/inspirational-quotes/7732-leadership-is-unlocking-peoples-potential-to,https://assets.passiton.com/quotes/quote_artwork/7732/medium/202200602_thursday_quote.jpg,Leadership is unlocking people's potential to become better.,<Author:0x0000562a0dd541b0>
LEADERSHIP,/inspirational-quotes/8221-if-your-actions-create-a-legacy-that-inspires,https://assets.passiton.com/quotes/quote_artwork/8221/medium/202200601_wednesday_quote.jpg,"If your actions create a legacy that inspires others to dream more, learn more, do more and become more, then, you are an excellent leader.",<Author:0x0000562a0ddcfc98>
LEADERSHIP,/inspirational-quotes/7789-great-things-can-be-achieved-by-leading-through,https://assets.passiton.com/quotes/quote_artwork/7789/medium/20220531_tuesday_quote.jpg,"Great things can be achieved by leading through wisdom, empathy, and integrity—with no other agenda than humanity.",<Author:0x0000562a0ddae110>
LEADERSHIP,/inspirational-quotes/6193-do-not-follow-where-the-path-may-lead-go,https://assets.passiton.com/quotes/quote_artwork/6193/medium/20220530_monday_quote.jpg,Do not follow where the path may lead. Go instead where there is no path and leave a trail.,<Author:0x0000562a0de3ca78>
